Dia,ValorUF
1,26799.01
2,26799.87
3,26800.73
4,26801.6
5,26802.46
6,26803.33
7,26804.19
8,26805.05
9,26805.92
10,26806.78
11,26807.65
12,26808.51
13,26809.38
14,26810.24
15,26811.11
16,26811.97
17,26812.84
18,26813.7
19,26814.56
20,26815.43
21,26816.29
22,26817.16
23,26818.02
24,26818.89
25,26819.75
26,26820.62
27,26821.48
28,26822.35
29,26823.21
30,26824.08
31,26824.94
32,26825.81
33,26826.67
34,26827.54
35,26828.4
36,26829.27
37,26830.13
38,26831
39,26831.86
40,26832.73
41,26837.51
42,26842.29
43,26847.07
44,26851.86
45,26856.64
46,26861.42
47,26866.21
48,26870.99
49,26875.78
50,26880.57
51,26885.36
52,26890.15
53,26894.94
54,26899.73
55,26904.52
56,26909.31
57,26914.11
58,26918.9
59,26923.7
60,26928.49
61,26933.29
62,26938.09
63,26942.89
64,26947.69
65,26952.49
66,26957.29
67,26962.09
68,26966.89
69,26966.89
70,26966.89
71,26966.89
72,26966.89
73,26966.89
74,26966.89
75,26966.89
76,26966.89
77,26966.89
78,26966.89
79,26966.89
80,26966.89
81,26966.89
82,26966.89
83,26966.89
84,26966.89
85,26966.89
86,26966.89
87,26966.89
88,26966.89
89,26966.89
90,26966.89
91,26966.89
92,26966.89
93,26966.89
94,26966.89
95,26966.89
96,26966.89
97,26966.89
98,26966.89
99,26966.89
100,26968.69
101,26970.48
102,26972.28
103,26974.07
104,26975.87
105,26977.67
106,26979.46
107,26981.26
108,26983.06
109,26984.86
110,26986.65
111,26988.45
112,26990.25
113,26992.05
114,26993.84
115,26995.64
116,26997.44
117,26999.24
118,27001.04
119,27002.83
120,27004.63
121,27006.43
122,27008.23
123,27010.03
124,27011.83
125,27013.63
126,27015.43
127,27017.22
128,27019.02
129,27020.82
130,27023.43
131,27026.04
132,27028.65
133,27031.27
134,27033.88
135,27036.49
136,27039.1
137,27041.72
138,27044.33
139,27046.94
140,27049.56
141,27052.17
142,27054.78
143,27057.4
144,27060.01
145,27062.63
146,27065.24
147,27067.86
148,27070.47
149,27073.09
150,27075.71
151,27078.32
152,27080.94
153,27083.56
154,27086.17
155,27088.79
156,27091.41
157,27094.03
158,27096.65
159,27099.26
160,27101.88
161,27104.59
162,27107.29
163,27110
164,27112.71
165,27115.41
166,27118.12
167,27120.83
168,27123.54
169,27126.25
170,27128.95
171,27131.66
172,27134.37
173,27137.08
174,27139.79
175,27142.5
176,27145.21
177,27147.92
178,27150.63
179,27153.35
180,27156.06
181,27158.77
182,27161.48
183,27164.19
184,27166.91
185,27169.62
186,27172.33
187,27175.04
188,27177.76
189,27180.47
190,27183.19
191,27184.07
192,27184.94
193,27185.82
194,27186.7
195,27187.57
196,27188.45
197,27189.33
198,27190.2
199,27191.08
200,27191.96
201,27192.83
202,27193.71
203,27194.59
204,27195.46
205,27196.34
206,27197.22
207,27198.09
208,27198.97
209,27199.85
210,27200.72
211,27201.6
212,27202.48
213,27203.36
214,27204.23
215,27205.11
216,27205.99
217,27206.86
218,27207.74
219,27208.62
220,27209.5
221,27210.37
222,27213.87
223,27217.38
224,27220.88
225,27224.39
226,27227.9
227,27231.4
228,27234.91
229,27238.42
230,27241.92
231,27245.43
232,27248.94
233,27252.45
234,27255.96
235,27259.47
236,27262.98
237,27266.49
238,27270
239,27273.52
240,27277.03
241,27280.54
242,27284.05
243,27287.57
244,27291.08
245,27294.6
246,27298.11
247,27301.63
248,27305.14
249,27308.66
250,27312.18
251,27315.69
252,27319.21
253,27321.03
254,27322.85
255,27324.67
256,27326.49
257,27328.31
258,27330.13
259,27331.95
260,27333.77
261,27335.59
262,27337.41
263,27339.23
264,27341.05
265,27342.87
266,27344.69
267,27346.52
268,27348.34
269,27350.16
270,27351.98
271,27353.8
272,27355.62
273,27357.45
274,27359.27
275,27361.09
276,27362.91
277,27364.73
278,27366.56
279,27368.38
280,27370.2
281,27372.03
282,27373.85
283,27376.5
284,27379.14
285,27381.79
286,27384.43
287,27387.08
288,27389.73
289,27392.37
290,27395.02
291,27397.67
292,27400.31
293,27402.96
294,27405.61
295,27408.26
296,27410.91
297,27413.56
298,27416.2
299,27418.85
300,27421.5
301,27424.15
302,27426.8
303,27429.45
304,27432.1
305,27434.76
306,27437.41
307,27440.06
308,27442.71
309,27445.36
310,27448.01
311,27450.67
312,27453.32
313,27455.97
314,27459.62
315,27463.28
316,27466.93
317,27470.59
318,27474.24
319,27477.9
320,27481.56
321,27485.21
322,27488.87
323,27492.53
324,27496.19
325,27499.85
326,27503.51
327,27507.17
328,27510.83
329,27514.49
330,27518.15
331,27521.81
332,27525.47
333,27529.14
334,27532.8
335,27536.46
336,27540.13
337,27543.79
338,27547.46
339,27551.13
340,27554.79
341,27558.46
342,27562.13
343,27565.79
344,27565.79
345,27565.79
346,27565.79
347,27565.79
348,27565.79
349,27565.79
350,27565.79
351,27565.79
352,27565.79
353,27565.79
354,27565.79
355,27565.79
356,27565.79
357,27565.79
358,27565.79
359,27565.79
360,27565.79
361,27565.79
362,27565.79
363,27565.79
364,27565.79
365,27565.79